Domain,Category,Word
Shopping,Price & Discount Term,Offer
Shopping,Price & Discount Term,Special Offer
Shopping,Price & Discount Term,Best Offer
Shopping,Price & Discount Term,Limited Offer
Shopping,Price & Discount Term,Festive Offer
Shopping,Price & Discount Term,Special Discount
Shopping,Price & Discount Term,Extra Discount
Shopping,Price & Discount Term,Flat Discount
Shopping,Price & Discount Term,Instant Discount
Shopping,Price & Discount Term,Cashback
Shopping,Price & Discount Term,Coupon
Shopping,Price & Discount Term,Coupon Code
Shopping,Price & Discount Term,Promo Code
Shopping,Price & Discount Term,Voucher
Shopping,Price & Discount Term,Gift Voucher
Shopping,Price & Discount Term,Bank Offer
Shopping,Price & Discount Term,Card Offer
Shopping,Price & Discount Term,UPI Offer
Shopping,Price & Discount Term,Exchange Offer
Shopping,Price & Discount Term,Buy One Get One
Shopping,Price & Discount Term,BOGO
Shopping,Price & Discount Term,Combo Offer
Shopping,Price & Discount Term,Combo Deal
Shopping,Price & Discount Term,Bundle Offer
Shopping,Price & Discount Term,Free Delivery
Shopping,Price & Discount Term,Free Shipping
Shopping,Price & Discount Term,Price Drop
Shopping,Price & Discount Term,Price Cut
Shopping,Price & Discount Term,Sale
Shopping,Price & Discount Term,Big Sale
Shopping,Price & Discount Term,Flash Sale
Shopping,Price & Discount Term,Mega Sale
Shopping,Price & Discount Term,Clearance Sale
Shopping,Price & Discount Term,Season Sale
Shopping,Price & Discount Term,Festive Sale
Shopping,Price & Discount Term,Discount Code
Shopping,Price & Discount Term,Offer Code
Shopping,Price & Discount Term,Minimum Order
Shopping,Price & Discount Term,Minimum Purchase
Shopping,Price & Discount Term,Maximum Discount
Shopping,Price & Discount Term,Discount Percentage
Shopping,Price & Discount Term,10% Off
Shopping,Price & Discount Term,20% Off
Shopping,Price & Discount Term,50% Off
Shopping,Price & Discount Term,Half Price
Shopping,Price & Discount Term,No Cost EMI
Shopping,Price & Discount Term,EMI
Shopping,Price & Discount Term,Monthly Payment
Shopping,Price & Discount Term,Installment
Shopping,Price & Discount Term,Down Payment
Shopping,Price & Discount Term,Cashback Offer
Shopping,Price & Discount Term,Reward Points
Shopping,Price & Discount Term,Loyalty Points
Shopping,Price & Discount Term,Member Discount
Shopping,Price & Discount Term,Student Discount
Shopping,Price & Discount Term,First Order Discount
Shopping,Price & Discount Term,New User Offer
Shopping,Price & Discount Term,Referral Offer
Shopping,Price & Discount Term,Limited Time Offer
Shopping,Price & Discount Term,Today Only
Shopping,Price & Discount Term,Best Price
Shopping,Price & Discount Term,Lowest Price
Shopping,Price & Discount Term,Price Match
Shopping,Price & Discount Term,Price Negotiation
Shopping,Price & Discount Term,Wholesale Price
Shopping,Price & Discount Term,Retail Price
Shopping,Price & Discount Term,Market Price
Shopping,Price & Discount Term,Price Range
Shopping,Price & Discount Term,Price Comparison
Shopping,Price & Discount Term,Extra Charges
Shopping,Price & Discount Term,Delivery Charges
Shopping,Price & Discount Term,Shipping Charges
Shopping,Price & Discount Term,Tax
Shopping,Price & Discount Term,GST
Shopping,Price & Discount Term,Service Charge
Shopping,Price & Discount Term,Final Amount
Shopping,Price & Discount Term,Total Amount
Shopping,Online Shopping Term,Online Shopping
Shopping,Online Shopping Term,Online Store
Shopping,Online Shopping Term,Shopping App
Shopping,Online Shopping Term,Shopping Website
Shopping,Online Shopping Term,Website
Shopping,Online Shopping Term,App
Shopping,Online Shopping Term,Product
Shopping,Online Shopping Term,Product Page
Shopping,Online Shopping Term,Product Listing
Shopping,Online Shopping Term,Search
Shopping,Online Shopping Term,Search Bar
Shopping,Online Shopping Term,Category
Shopping,Online Shopping Term,Filter
Shopping,Online Shopping Term,Sort
Shopping,Online Shopping Term,Product Image
Shopping,Online Shopping Term,Product Video
Shopping,Online Shopping Term,Product Description
Shopping,Online Shopping Term,Product Details
Shopping,Online Shopping Term,Size Chart
Shopping,Online Shopping Term,Reviews
Shopping,Online Shopping Term,Ratings
Shopping,Online Shopping Term,Wishlist
Shopping,Online Shopping Term,Cart
Shopping,Online Shopping Term,Shopping Cart
Shopping,Online Shopping Term,Add to Cart
Shopping,Online Shopping Term,Buy Now
Shopping,Online Shopping Term,Checkout
Shopping,Online Shopping Term,Order
Shopping,Online Shopping Term,Place Order
Shopping,Online Shopping Term,Order Confirmation
Shopping,Online Shopping Term,Order Number
Shopping,Online Shopping Term,Order ID
Shopping,Online Shopping Term,Order History
Shopping,Online Shopping Term,Order Status
Shopping,Online Shopping Term,Payment
Shopping,Online Shopping Term,Online Payment
Shopping,Online Shopping Term,UPI
Shopping,Online Shopping Term,Credit Card
Shopping,Online Shopping Term,Debit Card
Shopping,Online Shopping Term,Net Banking
Shopping,Online Shopping Term,Wallet
Shopping,Online Shopping Term,Cash on Delivery
Shopping,Online Shopping Term,COD
Shopping,Online Shopping Term,EMI
Shopping,Online Shopping Term,Coupon
Shopping,Online Shopping Term,Coupon Code
Shopping,Online Shopping Term,Promo Code
Shopping,Online Shopping Term,Discount
Shopping,Online Shopping Term,Offer
Shopping,Online Shopping Term,Deal
Shopping,Online Shopping Term,Cashback
Shopping,Online Shopping Term,Free Delivery
Shopping,Online Shopping Term,Shipping
Shopping,Online Shopping Term,Delivery
Shopping,Online Shopping Term,Delivery Address
Shopping,Online Shopping Term,Billing Address
Shopping,Online Shopping Term,Pincode
Shopping,Online Shopping Term,Address
Shopping,Online Shopping Term,Contact Number
Shopping,Online Shopping Term,Email
Shopping,Online Shopping Term,Login
Shopping,Online Shopping Term,Sign Up
Shopping,Online Shopping Term,Account
Shopping,Online Shopping Term,Profile
Shopping,Online Shopping Term,Password
Shopping,Online Shopping Term,OTP
Shopping,Online Shopping Term,Verification
Shopping,Online Shopping Term,Payment Failed
Shopping,Online Shopping Term,Payment Successful
Shopping,Online Shopping Term,Payment Pending
Shopping,Online Shopping Term,Order Failed
Shopping,Online Shopping Term,Order Cancelled
Shopping,Online Shopping Term,Cancel Order
Shopping,Online Shopping Term,Return
Shopping,Online Shopping Term,Return Request
Shopping,Online Shopping Term,Refund
Shopping,Online Shopping Term,Refund Status
Shopping,Online Shopping Term,Exchange
Shopping,Online Shopping Term,Exchange Request
Shopping,Online Shopping Term,Replacement
Shopping,Online Shopping Term,Customer Support
Shopping,Online Shopping Term,Customer Care
Shopping,Online Shopping Term,Help Center
Shopping,Online Shopping Term,Chat Support
Shopping,Online Shopping Term,Contact Seller
Shopping,Online Shopping Term,Seller
Shopping,Online Shopping Term,Buyer
Shopping,Online Shopping Term,Seller Rating
Shopping,Online Shopping Term,Seller Review
Shopping,Online Shopping Term,Product Review
Shopping,Online Shopping Term,Customer Review
Shopping,Online Shopping Term,Rating
Shopping,Online Shopping Term,Recommended
Shopping,Online Shopping Term,Related Products
Shopping,Online Shopping Term,Similar Products
Shopping,Online Shopping Term,Recently Viewed
Shopping,Online Shopping Term,Frequently Bought
Shopping,Online Shopping Term,Best Seller
Shopping,Online Shopping Term,Trending
Shopping,Online Shopping Term,New Arrival
Shopping,Online Shopping Term,Out of Stock
Shopping,Online Shopping Term,In Stock
Shopping,Online Shopping Term,Limited Stock
Shopping,Online Shopping Term,Notify Me
Shopping,Online Shopping Term,Subscribe
Shopping,Online Shopping Term,Store Pickup
Shopping,Delivery Term,Delivery
Shopping,Delivery Term,Home Delivery
Shopping,Delivery Term,Delivery Address
Shopping,Delivery Term,Shipping Address
Shopping,Delivery Term,Billing Address
Shopping,Delivery Term,Delivery Date
Shopping,Delivery Term,Delivery Time
Shopping,Delivery Term,Delivery Status
Shopping,Delivery Term,Delivery Partner
Shopping,Delivery Term,Delivery Agent
Shopping,Delivery Term,Delivery Person
Shopping,Delivery Term,Courier
Shopping,Delivery Term,Courier Service
Shopping,Delivery Term,Shipping
Shopping,Delivery Term,Shipment
Shopping,Delivery Term,Package
Shopping,Delivery Term,Parcel
Shopping,Delivery Term,Order
Shopping,Delivery Term,Order Number
Shopping,Delivery Term,Order ID
Shopping,Delivery Term,Tracking
Shopping,Delivery Term,Tracking Number
Shopping,Delivery Term,Tracking ID
Shopping,Delivery Term,Track Order
Shopping,Delivery Term,Order Status
Shopping,Delivery Term,Processing
Shopping,Delivery Term,Packed
Shopping,Delivery Term,Packing
Shopping,Delivery Term,Shipped
Shopping,Delivery Term,In Transit
Shopping,Delivery Term,Out for Delivery
Shopping,Delivery Term,Delivered
Shopping,Delivery Term,Delivery Attempt
Shopping,Delivery Term,Delivery Failed
Shopping,Delivery Term,Delivery Delayed
Shopping,Delivery Term,Delayed Delivery
Shopping,Delivery Term,Expected Delivery
Shopping,Delivery Term,Estimated Delivery
Shopping,Delivery Term,Delivery Slot
Shopping,Delivery Term,Same Day Delivery
Shopping,Delivery Term,Next Day Delivery
Shopping,Delivery Term,Express Delivery
Shopping,Delivery Term,Fast Delivery
Shopping,Delivery Term,Standard Delivery
Shopping,Delivery Term,Free Delivery
Shopping,Delivery Term,Paid Delivery
Shopping,Delivery Term,Local Delivery
Shopping,Delivery Term,International Delivery
Shopping,Delivery Term,Pickup
Shopping,Delivery Term,Store Pickup
Shopping,Delivery Term,Pickup Point
Shopping,Delivery Term,Drop Off
Shopping,Delivery Term,Shipping Charges
Shopping,Delivery Term,Delivery Charges
Shopping,Delivery Term,Handling Charges
Shopping,Delivery Term,Cash on Delivery
Shopping,Delivery Term,COD
Shopping,Delivery Term,Payment on Delivery
Shopping,Delivery Term,Address
Shopping,Delivery Term,Pincode
Shopping,Delivery Term,Landmark
Shopping,Delivery Term,Phone Number
Shopping,Delivery Term,Contact Number
Shopping,Delivery Term,Recipient
Shopping,Delivery Term,Sender
Shopping,Delivery Term,Receiver
Shopping,Delivery Term,Delivery Instructions
Shopping,Delivery Term,Package Received
Shopping,Delivery Term,Order Received
Shopping,Delivery Term,Delivery Confirmation
Shopping,Delivery Term,Proof of Delivery
Shopping,Delivery Term,Signature
Shopping,Delivery Term,Delivery OTP
Shopping,Delivery Term,OTP
Shopping,Delivery Term,Reschedule Delivery
Shopping,Delivery Term,Cancel Delivery
Shopping,Delivery Term,Return Delivery
Shopping,Delivery Term,Return Pickup
Shopping,Delivery Term,Pickup Request
Shopping,Delivery Term,Pickup Scheduled
Shopping,Delivery Term,Pickup Failed
Shopping,Delivery Term,Replacement
Shopping,Delivery Term,Exchange
Shopping,Delivery Term,Refund
Shopping,Delivery Term,Return Request
Shopping,Delivery Term,Return Status
Shopping,Delivery Term,Damaged Package
Shopping,Delivery Term,Missing Item
Shopping,Delivery Term,Wrong Item
Shopping,Delivery Term,Delivery Complaint
Shopping,Delivery Term,Customer Support
Shopping,Delivery Term,Courier Tracking
Shopping,Delivery Term,Shipping Partner
Shopping,Delivery Term,Warehouse
Shopping,Delivery Term,Dispatch
Shopping,Delivery Term,Dispatched
Shopping,Delivery Term,Package Delayed
Shopping,Delivery Term,Package Lost
Shopping,Delivery Term,Package Returned
Shopping,Delivery Term,Return to Seller
Travel & Transportation,Vehicle,Car
Travel & Transportation,Vehicle,Bike
Travel & Transportation,Vehicle,Motorcycle
Travel & Transportation,Vehicle,Scooter
Travel & Transportation,Vehicle,Electric Scooter
Travel & Transportation,Vehicle,Electric Bike
Travel & Transportation,Vehicle,Auto Rickshaw
Travel & Transportation,Vehicle,Rickshaw
Travel & Transportation,Vehicle,Cycle
Travel & Transportation,Vehicle,Bicycle
Travel & Transportation,Vehicle,Electric Cycle
Travel & Transportation,Vehicle,Bus
Travel & Transportation,Vehicle,Mini Bus
Travel & Transportation,Vehicle,School Bus
Travel & Transportation,Vehicle,Van
Travel & Transportation,Vehicle,Mini Van
Travel & Transportation,Vehicle,Taxi
Travel & Transportation,Vehicle,Cab
Travel & Transportation,Vehicle,Truck
Travel & Transportation,Vehicle,Lorry
Travel & Transportation,Vehicle,Pickup Truck
Travel & Transportation,Vehicle,Tractor
Travel & Transportation,Vehicle,Tempo
Travel & Transportation,Vehicle,Delivery Van
Travel & Transportation,Vehicle,Ambulance
Travel & Transportation,Vehicle,Police Vehicle
Travel & Transportation,Vehicle,Fire Truck
Travel & Transportation,Vehicle,JCB
Travel & Transportation,Vehicle,Crane
Travel & Transportation,Vehicle,Trailer
Travel & Transportation,Vehicle,Container Truck
Travel & Transportation,Vehicle,Tanker
Travel & Transportation,Vehicle,Water Tanker
Travel & Transportation,Vehicle,Garbage Truck
Travel & Transportation,Vehicle,Road Roller
Travel & Transportation,Vehicle,Bulldozer
Travel & Transportation,Vehicle,Excavator
Travel & Transportation,Vehicle,Train
Travel & Transportation,Vehicle,Metro
Travel & Transportation,Vehicle,Local Train
Travel & Transportation,Vehicle,Express Train
Travel & Transportation,Vehicle,Passenger Train
Travel & Transportation,Vehicle,Electric Train
Travel & Transportation,Vehicle,Goods Train
Travel & Transportation,Vehicle,Flight
Travel & Transportation,Vehicle,Airplane
Travel & Transportation,Vehicle,Helicopter
Travel & Transportation,Vehicle,Private Jet
Travel & Transportation,Vehicle,Boat
Travel & Transportation,Vehicle,Ferry
Travel & Transportation,Vehicle,Ship
Travel & Transportation,Vehicle,Cruise Ship
Travel & Transportation,Vehicle,Fishing Boat
Travel & Transportation,Vehicle,Speed Boat
Travel & Transportation,Vehicle,Motor Boat
Travel & Transportation,Vehicle,Yacht
Travel & Transportation,Vehicle,Bicycle Rickshaw
Travel & Transportation,Vehicle,Hand Cart
Travel & Transportation,Vehicle,Bullock Cart
Travel & Transportation,Vehicle,Horse Cart
Travel & Transportation,Vehicle,Tram
Travel & Transportation,Public Transport,Bus
Travel & Transportation,Public Transport,City Bus
Travel & Transportation,Public Transport,Government Bus
Travel & Transportation,Public Transport,Private Bus
Travel & Transportation,Public Transport,School Bus
Travel & Transportation,Public Transport,Local Bus
Travel & Transportation,Public Transport,Express Bus
Travel & Transportation,Public Transport,Sleeper Bus
Travel & Transportation,Public Transport,AC Bus
Travel & Transportation,Public Transport,Non AC Bus
Travel & Transportation,Public Transport,Mini Bus
Travel & Transportation,Public Transport,Metro
Travel & Transportation,Public Transport,Metro Train
Travel & Transportation,Public Transport,Local Train
Travel & Transportation,Public Transport,Passenger Train
Travel & Transportation,Public Transport,Suburban Train
Travel & Transportation,Public Transport,Railway
Travel & Transportation,Public Transport,Train
Travel & Transportation,Public Transport,Auto Rickshaw
Travel & Transportation,Public Transport,E-Rickshaw
Travel & Transportation,Public Transport,Rickshaw
Travel & Transportation,Public Transport,Taxi
Travel & Transportation,Public Transport,Cab
Travel & Transportation,Public Transport,App Cab
Travel & Transportation,Public Transport,Shared Auto
Travel & Transportation,Public Transport,Shared Taxi
Travel & Transportation,Public Transport,Airport Bus
Travel & Transportation,Public Transport,Airport Shuttle
Travel & Transportation,Public Transport,Bus Stop
Travel & Transportation,Public Transport,Bus Station
Travel & Transportation,Public Transport,Metro Station
Travel & Transportation,Public Transport,Railway Station
Travel & Transportation,Public Transport,Train Station
Travel & Transportation,Public Transport,Bus Route
Travel & Transportation,Public Transport,Metro Route
Travel & Transportation,Public Transport,Train Route
Travel & Transportation,Public Transport,Bus Pass
Travel & Transportation,Public Transport,Metro Card
Travel & Transportation,Public Transport,Travel Card
Travel & Transportation,Public Transport,Smart Card
Travel & Transportation,Public Transport,Ticket
Travel & Transportation,Public Transport,Bus Ticket
Travel & Transportation,Public Transport,Metro Ticket
Travel & Transportation,Public Transport,Train Ticket
Travel & Transportation,Public Transport,Season Ticket
Travel & Transportation,Public Transport,Monthly Pass
Travel & Transportation,Public Transport,Daily Pass
Travel & Transportation,Public Transport,Platform
Travel & Transportation,Public Transport,Platform Ticket
Travel & Transportation,Public Transport,Waiting Area
Travel & Transportation,Public Transport,Passenger
Travel & Transportation,Public Transport,Conductor
Travel & Transportation,Public Transport,Driver
Travel & Transportation,Public Transport,Ticket Counter
Travel & Transportation,Public Transport,Ticket Machine
Travel & Transportation,Public Transport,Public Transport App
Travel & Transportation,Public Transport,Transport Service
Travel & Transportation,Railway Term,Railway
Travel & Transportation,Railway Term,Railway Station
Travel & Transportation,Railway Term,Train Station
Travel & Transportation,Railway Term,Train
Travel & Transportation,Railway Term,Rail
Travel & Transportation,Railway Term,Railway Track
Travel & Transportation,Railway Term,Platform
Travel & Transportation,Railway Term,Platform Number
Travel & Transportation,Railway Term,Platform Ticket
Travel & Transportation,Railway Term,Train Ticket
Travel & Transportation,Railway Term,Railway Ticket
Travel & Transportation,Railway Term,Online Ticket
Travel & Transportation,Railway Term,Reservation
Travel & Transportation,Railway Term,Ticket Booking
Travel & Transportation,Railway Term,Train Booking
Travel & Transportation,Railway Term,PNR
Travel & Transportation,Railway Term,PNR Number
Travel & Transportation,Railway Term,Ticket Status
Travel & Transportation,Railway Term,Waiting List
Travel & Transportation,Railway Term,WL
Travel & Transportation,Railway Term,RAC
Travel & Transportation,Railway Term,Confirmed Ticket
Travel & Transportation,Railway Term,Cancellation
Travel & Transportation,Railway Term,Refund
Travel & Transportation,Railway Term,Tatkal
Travel & Transportation,Railway Term,Tatkal Ticket
Travel & Transportation,Railway Term,General Ticket
Travel & Transportation,Railway Term,General Class
Travel & Transportation,Railway Term,Sleeper Class
Travel & Transportation,Railway Term,AC Coach
Travel & Transportation,Railway Term,AC First Class
Travel & Transportation,Railway Term,AC 2 Tier
Travel & Transportation,Railway Term,AC 3 Tier
Travel & Transportation,Railway Term,Sleeper Coach
Travel & Transportation,Railway Term,Chair Car
Travel & Transportation,Railway Term,Executive Class
Travel & Transportation,Railway Term,Coach
Travel & Transportation,Railway Term,Compartment
Travel & Transportation,Railway Term,Seat
Travel & Transportation,Railway Term,Berth
Travel & Transportation,Railway Term,Lower Berth
Travel & Transportation,Railway Term,Middle Berth
Travel & Transportation,Railway Term,Upper Berth
Travel & Transportation,Railway Term,Side Lower
Travel & Transportation,Railway Term,Side Upper
Travel & Transportation,Railway Term,Window Seat
Travel & Transportation,Railway Term,Aisle Seat
Travel & Transportation,Railway Term,Train Number
Travel & Transportation,Railway Term,Train Name
Travel & Transportation,Railway Term,Arrival
Travel & Transportation,Railway Term,Departure
Travel & Transportation,Railway Term,Departure Time
Travel & Transportation,Railway Term,Arrival Time
Travel & Transportation,Railway Term,Platform Change
Travel & Transportation,Railway Term,Train Delay
Travel & Transportation,Railway Term,Cancelled Train
Travel & Transportation,Railway Term,Rescheduled Train
Travel & Transportation,Railway Term,Railway Enquiry
Travel & Transportation,Railway Term,Railway Counter
Travel & Transportation,Railway Term,Ticket Counter
Travel & Transportation,Railway Term,Waiting Room
Travel & Transportation,Railway Term,Luggage
Travel & Transportation,Railway Term,Baggage
Travel & Transportation,Railway Term,Parcel
Travel & Transportation,Railway Term,Railway Police
Travel & Transportation,Railway Term,Station Master
Travel & Transportation,Railway Term,Train Driver
Travel & Transportation,Railway Term,Ticket Collector
Travel & Transportation,Railway Term,TC
Travel & Transportation,Railway Term,Railway Staff
Travel & Transportation,Airport Term,Airport
Travel & Transportation,Airport Term,Airport Terminal
Travel & Transportation,Airport Term,Terminal
Travel & Transportation,Airport Term,Flight
Travel & Transportation,Airport Term,Airplane
Travel & Transportation,Airport Term,Airline
Travel & Transportation,Airport Term,Air Ticket
Travel & Transportation,Airport Term,Flight Ticket
Travel & Transportation,Airport Term,Booking
Travel & Transportation,Airport Term,Flight Booking
Travel & Transportation,Airport Term,Boarding Pass
Travel & Transportation,Airport Term,Boarding
Travel & Transportation,Airport Term,Check In
Travel & Transportation,Airport Term,Online Check In
Travel & Transportation,Airport Term,Airport Check In
Travel & Transportation,Airport Term,Security Check
Travel & Transportation,Airport Term,Security Checkpoint
Travel & Transportation,Airport Term,Immigration
Travel & Transportation,Airport Term,Customs
Travel & Transportation,Airport Term,Baggage
Travel & Transportation,Airport Term,Luggage
Travel & Transportation,Airport Term,Hand Baggage
Travel & Transportation,Airport Term,Checked Baggage
Travel & Transportation,Airport Term,Cabin Baggage
Travel & Transportation,Airport Term,Baggage Allowance
Travel & Transportation,Airport Term,Baggage Claim
Travel & Transportation,Airport Term,Baggage Belt
Travel & Transportation,Airport Term,Baggage Counter
Travel & Transportation,Airport Term,Departure
Travel & Transportation,Airport Term,Arrival
Travel & Transportation,Airport Term,Departure Gate
Travel & Transportation,Airport Term,Arrival Gate
Travel & Transportation,Airport Term,Gate
Travel & Transportation,Airport Term,Gate Number
Travel & Transportation,Airport Term,Waiting Area
Travel & Transportation,Airport Term,Departure Lounge
Travel & Transportation,Airport Term,Lounge
Travel & Transportation,Airport Term,Airport Lounge
Travel & Transportation,Airport Term,Runway
Travel & Transportation,Airport Term,Taxiway
Travel & Transportation,Airport Term,Air Traffic Control
Travel & Transportation,Airport Term,Flight Number
Travel & Transportation,Airport Term,PNR
Travel & Transportation,Airport Term,Booking Reference
Travel & Transportation,Airport Term,Seat Number
Travel & Transportation,Airport Term,Window Seat
Travel & Transportation,Airport Term,Aisle Seat
Travel & Transportation,Airport Term,Middle Seat
Travel & Transportation,Airport Term,Economy Class
Travel & Transportation,Airport Term,Business Class
Travel & Transportation,Airport Term,First Class
Travel & Transportation,Airport Term,Flight Status
Travel & Transportation,Airport Term,Flight Delay
Travel & Transportation,Airport Term,Flight Cancellation
Travel & Transportation,Airport Term,Boarding Time
Travel & Transportation,Airport Term,Departure Time
Travel & Transportation,Airport Term,Arrival Time
Travel & Transportation,Airport Term,Takeoff
